bulan,kb_aktif,pus
2022-01-01,4087177,6204696
2022-02-01,4093964,6197044
2022-03-01,4106197,6196937
2022-04-01,4071559,6149627
2022-05-01,4060414,6128196
2022-06-01,4044624,6101084
2022-07-01,4024598,6066020
2022-08-01,4011642,6043643
2022-09-01,4003988,6028647
2022-10-01,3994778,6012626
2022-11-01,3987386,5998797
2022-12-01,3985188,5975757
2023-01-01,3915539,5978313
2023-02-01,3922793,5968482
2023-03-01,3953551,5965808
2023-04-01,3996091,5966787
2023-05-01,4041371,5976448
2023-06-01,4106969,6002717
2023-07-01,4201373,6012555
2023-08-01,4271703,6025453
2023-09-01,4336226,6086184
2023-10-01,4408986,6077560
2023-11-01,4415660,6097704
2023-12-01,4480532,6117633
2024-01-01,3873974,5740991
2024-02-01,3874484,5729725
2024-03-01,3910196,5753258
2024-04-01,3947033,5808401
2024-05-01,3998892,6021752
2024-06-01,4058457,6052783
2024-07-01,4065802,6039479
2024-08-01,4260123,6046758
2024-09-01,4281822,6069971
2024-10-01,4288563,6066902
2024-11-01,4352732,6084293
2024-12-01,4417323,6106115
