bulan,Base,Up(+2%),Down(-2%),CI_L,CI_U,Delta_Up_vs_Base,Delta_Down_vs_Base
2025-01-01,3894778.3966765017,3904069.300398235,3885487.4929547682,3590001.767634337,4199555.025718667,9290.903721733484,-9290.903721733484
2025-02-01,3892370.633702777,3901655.6206516502,3883085.6467539035,3587594.005412447,4197147.261993107,9284.986948873382,-9284.986948873382
2025-03-01,3925424.1279529515,3934703.198128964,3916145.0577769387,3620647.4996626214,4230200.756243282,9279.070176012348,-9279.070176012814
2025-04-01,3957932.0138548375,3967205.1672579898,3948658.8604516853,3653155.3855645075,4262708.642145168,9273.153403152246,-9273.153403152246
2025-05-01,3993244.4468214377,4002511.68345173,3983977.2101911455,3688467.8185311076,4298021.075111768,9267.236630292144,-9267.236630292144
2025-06-01,4049928.833710031,4059190.1535674627,4040667.5138525995,3745152.205419701,4354705.462000362,9261.319857431576,-9261.319857431576
2025-07-01,4065770.58853087,4075025.9916154416,4056515.1854462987,3760993.96024054,4370547.2168212,9255.403084571473,-9255.403084571473
2025-08-01,4245274.269882595,4254523.756194307,4236024.783570885,3940497.641592265,4550050.898172925,9249.486311711371,-9249.48631171044
2025-09-01,4268335.16892448,4277578.73846333,4259091.599385629,3963558.5406341497,4573111.79721481,9243.569538850337,-9243.569538850337
2025-10-01,4281113.903339218,4290351.556105209,4271876.250573228,3976337.2750488883,4585890.531629548,9237.652765990235,-9237.652765990235
2025-11-01,4337446.493206328,4346678.229199457,4328214.757213198,4032669.8649159977,4642223.121496658,9231.735993129201,-9231.735993130133
2025-12-01,4399381.017659817,4408606.836880086,4390155.198439548,4094604.389369487,4704157.645950147,9225.819220269099,-9225.819220269099
